-0.484175	0.289478	0.825698	0.000000	-0.628027	0.542094	-0.558315	0.000000	-0.609226	-0.788883	-0.080668	0.000000	0.705227	1.757010	-0.104762	1.000000	
-0.415589	0.307013	0.856171	0.000000	-0.568817	0.646795	-0.508039	0.000000	-0.709742	-0.698140	-0.094167	0.000000	0.739028	1.691014	-0.121600	1.000000	
-0.348891	0.253280	0.902288	0.000000	-0.605076	0.674340	-0.423260	0.000000	-0.715652	-0.693625	-0.082017	0.000000	0.747232	1.674715	-0.153056	1.000000	
-0.225524	0.258297	0.939373	0.000000	-0.579646	0.739406	-0.342474	0.000000	-0.783038	-0.621740	-0.017033	0.000000	0.762371	1.646526	-0.182118	1.000000	
-0.182209	0.254316	0.949802	0.000000	-0.566218	0.762592	-0.312812	0.000000	-0.803864	-0.594792	0.005047	0.000000	0.774824	1.618529	-0.198915	1.000000	
-0.108558	0.242082	0.964163	0.000000	-0.518397	0.813791	-0.262695	0.000000	-0.848221	-0.528337	0.037151	0.000000	0.792684	1.565343	-0.221581	1.000000	
-0.016466	0.204895	0.978645	0.000000	-0.522640	0.832655	-0.183123	0.000000	-0.852395	-0.514494	0.093376	0.000000	0.800017	1.529652	-0.251584	1.000000	
-0.015936	0.192399	0.981187	0.000000	-0.504042	0.845956	-0.174068	0.000000	-0.863532	-0.497334	0.083496	0.000000	0.804917	1.504851	-0.252959	1.000000	
-0.042851	0.240273	0.969759	0.000000	-0.414803	0.878758	-0.236055	0.000000	-0.908902	-0.412374	0.062010	0.000000	0.805012	1.458562	-0.228465	1.000000	
-0.113401	0.229130	0.966768	0.000000	-0.320717	0.912513	-0.253891	0.000000	-0.940362	-0.338851	-0.029994	0.000000	0.796308	1.407235	-0.186171	1.000000	
-0.172712	0.252851	0.951965	0.000000	-0.200557	0.937214	-0.285319	0.000000	-0.964338	-0.240201	-0.111157	0.000000	0.776663	1.345740	-0.143148	1.000000	
-0.237937	0.285376	0.928411	0.000000	-0.094871	0.944463	-0.314625	0.000000	-0.966636	-0.162940	-0.197649	0.000000	0.751982	1.293964	-0.101845	1.000000	
-0.268494	0.298768	0.915778	0.000000	-0.038459	0.946603	-0.320100	0.000000	-0.962513	-0.121165	-0.242667	0.000000	0.731556	1.264545	-0.083773	1.000000	
